PING 192.168.67.2 (192.168.67.2) 56(84) bytes of data.
64 bytes from 192.168.67.2: icmp_seq=60 ttl=60 time=14.7 ms
64 bytes from 192.168.67.2: icmp_seq=61 ttl=60 time=21.5 ms
64 bytes from 192.168.67.2: icmp_seq=62 ttl=60 time=15.8 ms
64 bytes from 192.168.67.2: icmp_seq=63 ttl=60 time=14.5 ms
64 bytes from 192.168.67.2: icmp_seq=64 ttl=60 time=17.7 ms
64 bytes from 192.168.67.2: icmp_seq=65 ttl=60 time=20.8 ms
64 bytes from 192.168.67.2: icmp_seq=66 ttl=60 time=18.5 ms
64 bytes from 192.168.67.2: icmp_seq=67 ttl=60 time=26.6 ms
64 bytes from 192.168.67.2: icmp_seq=68 ttl=60 time=19.7 ms
64 bytes from 192.168.67.2: icmp_seq=69 ttl=60 time=17.5 ms
64 bytes from 192.168.67.2: icmp_seq=70 ttl=60 time=26.7 ms
64 bytes from 192.168.67.2: icmp_seq=71 ttl=60 time=24.6 ms
64 bytes from 192.168.67.2: icmp_seq=72 ttl=60 time=22.8 ms
64 bytes from 192.168.67.2: icmp_seq=73 ttl=60 time=20.5 ms
64 bytes from 192.168.67.2: icmp_seq=74 ttl=60 time=14.8 ms
64 bytes from 192.168.67.2: icmp_seq=75 ttl=60 time=18.5 ms
64 bytes from 192.168.67.2: icmp_seq=76 ttl=60 time=26.5 ms
64 bytes from 192.168.67.2: icmp_seq=77 ttl=60 time=19.6 ms
64 bytes from 192.168.67.2: icmp_seq=78 ttl=60 time=16.7 ms
64 bytes from 192.168.67.2: icmp_seq=79 ttl=60 time=19.7 ms
64 bytes from 192.168.67.2: icmp_seq=80 ttl=60 time=17.7 ms
64 bytes from 192.168.67.2: icmp_seq=81 ttl=60 time=26.8 ms
64 bytes from 192.168.67.2: icmp_seq=82 ttl=60 time=19.6 ms
64 bytes from 192.168.67.2: icmp_seq=83 ttl=60 time=17.5 ms
64 bytes from 192.168.67.2: icmp_seq=84 ttl=60 time=20.8 ms
64 bytes from 192.168.67.2: icmp_seq=85 ttl=60 time=15.7 ms
64 bytes from 192.168.67.2: icmp_seq=86 ttl=60 time=17.6 ms
64 bytes from 192.168.67.2: icmp_seq=87 ttl=60 time=20.6 ms
64 bytes from 192.168.67.2: icmp_seq=88 ttl=60 time=24.6 ms
64 bytes from 192.168.67.2: icmp_seq=89 ttl=60 time=26.6 ms
64 bytes from 192.168.67.2: icmp_seq=90 ttl=60 time=20.7 ms
64 bytes from 192.168.67.2: icmp_seq=91 ttl=60 time=17.5 ms
64 bytes from 192.168.67.2: icmp_seq=92 ttl=60 time=21.6 ms
64 bytes from 192.168.67.2: icmp_seq=93 ttl=60 time=19.6 ms
64 bytes from 192.168.67.2: icmp_seq=94 ttl=60 time=16.9 ms
64 bytes from 192.168.67.2: icmp_seq=95 ttl=60 time=20.6 ms
64 bytes from 192.168.67.2: icmp_seq=96 ttl=60 time=18.6 ms
64 bytes from 192.168.67.2: icmp_seq=97 ttl=60 time=16.6 ms
64 bytes from 192.168.67.2: icmp_seq=98 ttl=60 time=19.7 ms
64 bytes from 192.168.67.2: icmp_seq=99 ttl=60 time=17.6 ms
64 bytes from 192.168.67.2: icmp_seq=100 ttl=60 time=20.8 ms
64 bytes from 192.168.67.2: icmp_seq=101 ttl=60 time=19.5 ms
64 bytes from 192.168.67.2: icmp_seq=102 ttl=60 time=13.6 ms
64 bytes from 192.168.67.2: icmp_seq=103 ttl=60 time=20.6 ms
64 bytes from 192.168.67.2: icmp_seq=104 ttl=60 time=18.3 ms
64 bytes from 192.168.67.2: icmp_seq=105 ttl=60 time=17.8 ms
64 bytes from 192.168.67.2: icmp_seq=106 ttl=60 time=16.7 ms
64 bytes from 192.168.67.2: icmp_seq=107 ttl=60 time=18.4 ms
64 bytes from 192.168.67.2: icmp_seq=108 ttl=60 time=16.9 ms
64 bytes from 192.168.67.2: icmp_seq=109 ttl=60 time=20.6 ms
64 bytes from 192.168.67.2: icmp_seq=110 ttl=60 time=14.6 ms
64 bytes from 192.168.67.2: icmp_seq=111 ttl=60 time=16.4 ms
64 bytes from 192.168.67.2: icmp_seq=112 ttl=60 time=19.6 ms
64 bytes from 192.168.67.2: icmp_seq=113 ttl=60 time=17.5 ms
64 bytes from 192.168.67.2: icmp_seq=114 ttl=60 time=20.8 ms
64 bytes from 192.168.67.2: icmp_seq=115 ttl=60 time=19.5 ms
64 bytes from 192.168.67.2: icmp_seq=116 ttl=60 time=27.7 ms
64 bytes from 192.168.67.2: icmp_seq=117 ttl=60 time=20.7 ms
64 bytes from 192.168.67.2: icmp_seq=118 ttl=60 time=18.5 ms
64 bytes from 192.168.67.2: icmp_seq=119 ttl=60 time=17.6 ms
64 bytes from 192.168.67.2: icmp_seq=120 ttl=60 time=19.8 ms
64 bytes from 192.168.67.2: icmp_seq=121 ttl=60 time=24.6 ms
64 bytes from 192.168.67.2: icmp_seq=122 ttl=60 time=16.5 ms
64 bytes from 192.168.67.2: icmp_seq=123 ttl=60 time=19.6 ms
64 bytes from 192.168.67.2: icmp_seq=124 ttl=60 time=17.8 ms
